,url,Notes,Nose,Palate,Finish,Country,Region,Distillery / Brand,Bottler,Age,Distillation Date,Style,Bottling Date,Alcohol,Volume
Bladnoch Samsara,https://www.masterofmalt.com/whiskies/bladnoch/bladnoch-samsara-whisky/,," Quite concentrated, fruit compote, with plums, vanilla and orange blossom."," A sweet winey start, then drying slightly before more plums and vanilla flavours, some citrus and a malty core. Nicely structured."," Mellow and winey with a spicy, lingering tail.",Scotch Whisky,Lowland Whisky,Bladnoch,Bladnoch,,,Single Malt Whisky,,46.7%,70cl
Darkness! Macallan 26 Year Old Moscatel Cask Finish,https://www.masterofmalt.com/whiskies/the-macallan/darkness-macallan-26-year-old-moscatel-cask-finish-whisky/,," Clove-studded orange, blackcurrant jam, mahogany and cinnamon."," Christmas cake, toasted vanilla pod, damson, raisin and stem ginger. A hint of old Cognac develops in the background."," Very long and flavoursome, with continued dried fruit and rancio.",Scotch Whisky,Speyside Whisky,The Macallan,Darkness,26 year old Whisky,,Single Malt Whisky,,47.3%,50cl
Irish Single Malt #1 14 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/that-boutiquey-whisky-company/irish-single-malt-1-that-boutiquey-whisky-company-whiskey/,," Bucketfuls of apricot, pear and nectarine. Cereal notes and creamy vanilla broken up by fresh herbs.", Citrus zest and kitchen spices mixed with melting chocolate - creamy but light.," Fresh fruit sweetness of peaches and stewed plums, with a slight nuttiness coming through.",Scotch Whisky,Scotch Whisky,That Boutique-y Whisky Company,That Boutique-y Whisky Company,14 year old Whisky,,Single Malt Whisky,,47.6%,50cl
Macallan 25 Year Old 1993 (cask 13082) - Xtra Old Particular (Douglas Laing),https://www.masterofmalt.com/whiskies/the-macallan/macallan-25-year-old-1993-cask-13082-xtra-old-particular-douglas-laing-whisky/,," Big and immediately barley'd on the nose, catch its Autumnal fruit backdrop of apples and pears."," The palate is zesty, gently peppered initially, warming to honey and sugary fudge."," Softly spiced now, detect all that earlier character on the finish.",Scotch Whisky,Speyside Whisky,The Macallan,Douglas Laing,25 year old Whisky,June 1993,Single Malt Whisky,March 2019,51.6%,70cl
Kininvie 23 Year Old 1991 (Batch 3),https://www.masterofmalt.com/whiskies/kininvie/kininvie-23-year-old-1991-batch-3-whisky/,,,,,,,,,,,,,,
SPEY Royal Choice,https://www.masterofmalt.com/whiskies/speyside/spey-royal-choice-whisky/,,,,,,,,,,,,,,
Glen Ord 20 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/glen-ord/glen-ord-that-boutiquey-whisky-company-whisky/,," Buttered popcorn, honey, candle wax, greengages and white grapes."," Heavy with vanilla and oak, followed by a refreshing burst of green apple. Subtle wafts of barley give it a floral hint on the mid-palate.", Lasting spiciness of fresh ginger and white pepper.,Scotch Whisky,Highland Whisky,Glen Ord,That Boutique-y Whisky Company,20 year old Whisky,,Single Malt Whisky,,51.9%,50cl
Glenkinchie 2005 (bottled 2017) Amontillado Cask Finish - Distillers Edition,https://www.masterofmalt.com/whiskies/glenkinchie/glenkinchie-2005-bottled-2017-amontillado-cask-finish-distillers-edition-whisky/,," Orange peel, amaretto, caramelised dates and a hint of oatcake.", Vanilla pod and oily walnut. A hint of juicy red grape., Cinnamon and nutmeg - surprisingly Christmas-y for a Lowland!,Scotch Whisky,Lowland Whisky,Glenkinchie,Glenkinchie,,2005,Single Malt Whisky,2017,43.0%,70cl
Aultmore 11 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/aultmore/aultmore-11-year-old-that-boutiquey-whisky-company/,," Lemon peel, dried barley, toffee ice cream."," Dark chocolate and mint leaf, with a savoury touch of cornflakes.", Lingering yellow plum sweetness and resinous oak.,Scotch Whisky,Speyside Whisky,Aultmore,That Boutique-y Whisky Company,11 year old Whisky,,Single Malt Whisky,,52.1%,50cl
Bowmore 19 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/bowmore/bowmore-that-boutiquey-whisky-company-whisky/,," Redcurrant and smoked sea salt, with a pinch of oak-y cassia developing underneath."," Floral at first, then full-on smoke arrives on the palate. A bit of Christmas-y spice in the background."," Ash, allspice and raisin.",Scotch Whisky,Islay Whisky,Bowmore,That Boutique-y Whisky Company,19 year old Whisky,,Single Malt Whisky,,51.4%,50cl
Wolfburn Morven Single Malt,https://www.masterofmalt.com/whiskies/wolfburn/wolfburn-morven-single-malt-whisky/,," Fresh notes of juicy apple and white grape are deliciously juxtaposed with earthy, mineral-y peat."," Nutty malt pairs well with soft smoke, joined by peppered oak and caramelised fruit developing later on. ", Sweet hints of shortbread and ginger stick around on the finish.,Scotch Whisky,Highland Whisky,Wolfburn,Wolfburn,,,Single Malt Whisky,,46.0%,70cl
Auchroisk 10 Year Old - Flora and Fauna,https://www.masterofmalt.com/whiskies/auchroisk-10-year-old-whisky/,," Light, with a playful zestiness. Crème anglaise, cut grass and delectable nuttiness creep in.", Quite sweet with a pleasant softness.," Soft, dry green cereal notes.",Scotch Whisky,Speyside Whisky,Auchroisk,Auchroisk,10 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Edradour 10 Year Old 2008 Bourbon Cask Matured Natural Cask Strength - Ibisco Decanter,https://www.masterofmalt.com/whiskies/edradour/edradour-10-year-old-2008-cask-20089-bourbon-cask-matured-natural-cask-strength-ibisco-decanter-whisky/,," Rich, creamy chocolate ganache, with chocolate biscuits, silky caramel and a touch of oak."," Buttery toffee, melted chocolate and vanilla cream, with refreshing menthol among all the sweetness and a pinch of pepper spice."," Sugared popcorn, nutmeg, apricot jam and honey.",Scotch Whisky,Highland Whisky,Edradour,Edradour,10 year old Whisky,22 Oct 2008,Single Malt Whisky,09 Apr 2019,57.0%,70cl
The Glenlivet Archive 21 Year Old,https://www.masterofmalt.com/whiskies/the-glenlivet-archive-21-year-old-whisky/,"The nose is quite full and rich. There are notes of sandalwood and pine with a resinous note. Potpourri creeps in with barley sugar and cereal notes with acacia honey. The palate is rich and full. There are notes of oily walnuts and winter fruitcake with spice and sugar. There is a golden syrup note. The finish is long and sweet with a soft, chewy oak.",,,,Scotch Whisky,Speyside Whisky,The Glenlivet,The Glenlivet,21 year old Whisky,,Single Malt Whisky,,43.0%,70cl
The Glenlivet Captain's Reserve,https://www.masterofmalt.com/whiskies/glenlivet/the-glenlivet-captains-reserve-whisky/,," Bursting with sweet and fruity aromas. Rich in honey and apricot jam, with notes of sweet cinnamon bread and a subtle sensation of spicy liquorice."," Succulent flavours of mandarins in syrup, ripe poached pears and chocolate-dipped raisins.", Incredibly smooth and luscious.,Scotch Whisky,Speyside Whisky,The Glenlivet,The Glenlivet,,,Single Malt Whisky,,40.0%,70cl
Glenfiddich 22 Year Old 1992 (cask 8387) - Rare Collection,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-22-year-old-1992-cask-8387-rare-collection-whisky/,,,,,,,,,,,,,,
Isle of Jura The Sound,https://www.masterofmalt.com/whiskies/isle-of-jura/isle-of-jura-the-sound-whisky/,, Soft caramel and sultana notes. Burnt oak balanced by floral malt.," Orange syrup, rose petal, cherry and a touch of five-spice."," Chocolatey on the finish, joined by buttered brown bread.",Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,,,Single Malt Whisky,,42.5%,100cl
Glenburgie 7 Year Old 2011 - Strictly Limited (Càrn Mòr),https://www.masterofmalt.com/whiskies/glenburgie/glenburgie-7-year-old-2011-strictly-limited-carn-mor-whisky/,," Dry, with notes of buttered malt loaf alongside sweet sherry, fruitcake and orange peel."," Light and sweet, winter berries, mixed fruit and nuts and a touch of dark chocolate."," Lengthy and complex, with savoury malt notes.",Scotch Whisky,Speyside Whisky,Glenburgie,Carn Mor,7 year old Whisky,2011,Single Malt Whisky,2019,46.0%,70cl
Kilchoman 6 Year Old 2012 Single Cask Release (cask 405/2012) (Drinks by the Dram),https://www.masterofmalt.com/whiskies/kilchoman/kilchoman-6-year-old-2012-single-cask-release-cask-4052012-drinks-by-the-dram-whisky/,," Scones, jam and clotted cream - a classic combo. Lasting earthy peat and some tobacco notes later on."," Digestive biscuits, salted butter, raspberry and soft sandalwood hints."," Clove, cinnamon, barley, smoke and oily walnut.",Scotch Whisky,Islay Whisky,Kilchoman,Kilchoman,6 year old Whisky,05 Jul 2012,Single Malt Whisky,08 Aug 2018,56.9%,70cl
Craigellachie 23 Year Old,https://www.masterofmalt.com/whiskies/craigellachie/craigellachie-23-year-old-whisky/,," Lemon, orange and pineapple up front, backed up by warm oak and golden barley. Oak notes become increasingly toasty as it goes on. "," Salted caramel, creamy vanilla and more orange zest. Cinnamon, nutmeg and a subtle whiff of sulphur give it plenty of depth. "," The sulphur lasts, but it's not overpowering - the sweet spices bring balance to the long finish.",Scotch Whisky,Speyside Whisky,Craigellachie,Craigellachie,23 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Speyburn 12 Year Old 2006 (cask 12967) - Provenance (Douglas Laing),https://www.masterofmalt.com/whiskies/speyburn/speyburn-12-year-old-2006-cask-12967-provenance-douglas-laing-whisky/,," Creamy, with gentle spices emerging."," Even more creamy! Buttery shortbread and rich dried fruit and fresh berries, with sweet spices."," Think buttery pastries, with rich caramel and malty tones.",Scotch Whisky,Highland Whisky,Speyburn,Douglas Laing,12 year old Whisky,October 2006,Single Malt Whisky,October 2018,46.0%,70cl
Longmorn 16 Year Old 2002 (casks 800648 & 80649) - Cask Strength Collection (Signatory),https://www.masterofmalt.com/whiskies/longmorn/longmorn-16-year-old-2002-casks-800648-and-80649-cask-strength-collection-signatory-whisky/,," Orange marmalade, honey and spicy oak with some grassy aromas."," More honey with a sprinkle of cinnamon, creamy vanilla, and sweet figs.", Rich caramel and sweet malt.,Scotch Whisky,Speyside Whisky,Longmorn,Signatory,16 year old Whisky,17 Sep 2002,Single Malt Whisky,19 Mar 2019,55.3%,70cl
Octomore 09.3 5 Year Old,https://www.masterofmalt.com/whiskies/bruichladdich/octomore-093-5-year-old-whisky/,," Toasted oak and burnt herbs, with a whiff of fresh grass mixed in. Some lighter hints of fresh vanilla, but smoke is the main draw here."," Black tea smokiness and general peat reek once again, with just a hint of coastal air. Honey and golden syrup."," Petrichor, salted butter and bonfire embers.",Scotch Whisky,Islay Whisky,Bruichladdich,Bruichladdich,5 year old Whisky,2012,Single Malt Whisky,,62.9%,70cl
BenRiach 25 Year Old,https://www.masterofmalt.com/whiskies/benriach/benriach-25-year-old-whisky/,," Well-aged, aromatic, floral. Peppery, vanilla. Interesting touch of salinity."," Lots of fruit, particularly luscious stone fruit. Almonds and cocoa, spice."," Dry, rich complexity.",Scotch Whisky,Speyside Whisky,BenRiach,BenRiach,25 year old Whisky,,Single Malt Whisky,,46.8%,70cl
Isle of Jura Prophecy with Tin,https://www.masterofmalt.com/whiskies/isle-of-jura/isle-of-jura-prophecy-with-tin-whisky/,," Some peat, aniseed, oily, dry, pungent."," Smoky and dry, a muscular, powerful Jura with notes of nutmeg, cardamom, sea spray. Coal tar."," Good length, with punchy, dry peat smoke and dry herbal notes.",Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,,,Single Malt Whisky,,46.0%,70cl
Tamnavulin Double Cask,https://www.masterofmalt.com/whiskies/tamnavulin/tamnavulin-double-cask-whiskey/,," Chocolate mousse, extra thick double cream with a dusting of brown sugar, stewed apples and blackberries."," Christmas pudding, chocolate brownies, yellow plum and toffee-coated barley.", Spiced rum sweetness lingers on the finish.,Scotch Whisky,Speyside Whisky,Tamnavulin,Tamnavulin,,,Single Malt Whisky,,40.0%,70cl
Aultmore 10 Year Old 2008 (casks 307302 & 307303) - Signatory Vintage,https://www.masterofmalt.com/whiskies/aultmore/aultmore-10-year-old-2008-casks-307302-and-307303-signatory-vintage-whisky/,," Lemon curd and vanilla cheesecake, sweet barley, and salted caramel ice cream."," Mint dark chocolate, frosted cornflakes and toasted oak with candied citrus peel."," Dark plums and waxy peels, with more of that toasted oak lingering on the finish.",Scotch Whisky,Speyside Whisky,Aultmore,Signatory,10 year old Whisky,02 Sep 2008,Single Malt Whisky,04 Mar 2019,43.0%,70cl
Aultmore 20 Year Old 1997 - Single Cask (Master of Malt),https://www.masterofmalt.com/whiskies/product-73783/,," Starts off particularly savoury with beeswax, oak, baked earth and red chilli. Soon enough notes of kirsch emerge."," Much more fruity on the palate, with orange, sultana and blackcurrant Fruit Pastilles appearing early on. Peppermint leaf notes later on."," Liquorice root, fragrant cedar, stem ginger and blackcurrant once again.",Scotch Whisky,Speyside Whisky,Aultmore,Master of Malt,20 year old Whisky,15 May 1997,Single Malt Whisky,21 Mar 2018,57.5%,70cl
Edradour 17 Year Old 1999 - Bordeaux Cask Finish (55.2%),https://www.masterofmalt.com/whiskies/edradour/edradour-17-year-old-1999-bordeaux-cask-finish-55-2-whisky/,," Rich notes of stewed red berries and dark chocolate, with underlying menthol and parsley."," Oak-y spiciness begins to take shape on the palate with plenty of cinnamon, pink pepeprcorn and fresh cedar. Remains deliciously jammy with raspberries and cranberries.", Lasting sweetness of red liquorice.,Scotch Whisky,Highland Whisky,Edradour,Edradour,17 year old Whisky,12 Oct 1999,Single Malt Whisky,24 May 2017,55.2%,70cl
Dalmore Quintessence,https://www.masterofmalt.com/whiskies/dalmore/dalmore-quintessence-whisky/,," Black Forest fruits, marmalade and honeycomb."," Tropical fruits, ginger and sun dried raisins."," Cassis, orange, fresh baked banana.",Scotch Whisky,Highland Whisky,Dalmore,Dalmore,,,Single Malt Whisky,,45.0%,70cl
Finlaggan Sherry Finish,https://www.masterofmalt.com/whiskies/vintage-malt-whisky-co/finlaggan-sherry-finish-whisky/,," Mixed fresh berries and nuts, sticking plasters and medicinal peat smoke."," Sweet smoke, warming, black pepper, raisins and sultanas.", Long with hints of dried herbs and spice.,Scotch Whisky,Scotch Whisky,The Vintage Malt Whisky Co.,The Vintage Malt Whisky Co.,8 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Glenrothes 1969 (bottled 2019) (cask 16207) - The Last Drop,https://www.masterofmalt.com/whiskies/glenrothes/glenrothes-1969-bottled-2019-cask-16207-the-last-drop-whisky/,,,,,,,,,,,,,,
Speyburn 15 Year Old,https://www.masterofmalt.com/whiskies/speyburn/speyburn-15-year-old-whisky/,," Marmalade, sawdust, cacao nibs and stroopwafel dipped in coffee."," Honey'd barley and Tunnock's Caramel Wafers. A flash of flamed orange peel, shortly joined by lemon meringue."," Brown sugar, honeycomb and dried banana chips.",Scotch Whisky,Highland Whisky,Speyburn,Speyburn,15 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Bruichladdich 8 Year Old - The Laddie Eight,https://www.masterofmalt.com/whiskies/bruichladdich/bruichladdich-8-year-old-the-laddie-eight-whisky/,," Thyme honey, citrus blossom and a hint of brioche."," More citrus, though now juicy and sweet. Poppy seed and sea salt crackers, a touch of caramel.", Quite grassy and herbal on the finish.,Scotch Whisky,Islay Whisky,Bruichladdich,Bruichladdich,8 year old Whisky,,Single Malt Whisky,,50.0%,70cl
Glen Grant 30 Year Old 1988 (cask 9173) - Cask Collection (A.D Rattray),https://www.masterofmalt.com/whiskies/glen-grant/glen-grant-30-year-old-1988-cask-9173-cask-collection-a-d-rattray-whisky/,," Walnuts, hazelnuts, gooseberry and banana chips."," Almond butter, gentian and vanilla."," Exceptionally nutty, with cacao nibs and Seville orange.",Scotch Whisky,Speyside Whisky,Glen Grant,A. D. Rattray,30 year old Whisky,08 Apr 1988,Single Malt Whisky,15 Mar 2019,54.8%,70cl
The Macallan Rare Cask Black,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-rare-cask-black-whisky/,," Tobacco-rich smokiness, with spicy hints of old oak and pepparkakor. Heavily Sherried notes of fig jam and buttery sultana scones give away the whisky's Speyside roots."," Damson, dates and Demerara sugar. The earthy and herbaceous peaty elements take their time to reveal themselves."," A mixture of dark chocolate, fresh ginger and a whiff of bonfire smoke.",Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,,,Single Malt Whisky,,48.0%,70cl
Glen Garioch 1797 Founder's Reserve,https://www.masterofmalt.com/whiskies/glen-garioch-founders-reserve-1797-whisky/,," Lively, oily, slightly peppery malt. Some creamy Danish Blue balanced by hints of citrus including lime and grapefruit squash."," Chocolate lime sweets and brandy butter. With water there's more allspice, dessert wine, barley malt and cured ham."," Oak, some subtle smoke, green apple skin and more chocolate limes.",Scotch Whisky,Highland Whisky,Glen Garioch,Glen Garioch,,,Single Malt Whisky,,48.0%,70cl
Allt-á-Bhainne 25 Year Old 1993 (cask 12267) - Old Particular (Douglas Laing),https://www.masterofmalt.com/whiskies/alltabhainne/alltabhainne-25-year-old-1993-cask-12267-old-particular-douglas-laing-whisky/,," Heavy vanilla, banana fritters, honey and barley."," Lemon peel, caraway, caramelised dates and more banana.", Baking spices develop with a touch of citrus.,Scotch Whisky,Speyside Whisky,Allt-á-Bhainne,Douglas Laing,25 year old Whisky,February 1993,Single Malt Whisky,February 2018,51.5%,70cl
Tobermory 15 Year Old Spanish Oak Cask Finish,https://www.masterofmalt.com/whiskies/tobermory/tobermory-15-year-old-spanish-oak-cask-finish-whisky/,," Honey-drenched sponge cake, hops and a pinch of grapefruit zest.", Warming cedar spices and a hint of nutmeg appear on the palate. Citrus continues to sit at the core., Subtle sea breeze and a dash of black tea.,Scotch Whisky,Island Whisky,Tobermory,Tobermory,15 year old Whisky,,Single Malt Whisky,,46.3%,70cl
Royal Brackla 12 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/brackla/royal-brackla-that-boutiquey-whisky-company-whisky/,," Pain au chocolat, lemon sponge and ripe apples. Then roasted chestnuts and dried grass as well as a little coconut and banana bread."," Sharp and clean with lime rind, a little stony minerality and a green estery quality. Toffee and gently clinging syrupy fruits develop.", Long and gentle.,Scotch Whisky,Speyside Whisky,Brackla,That Boutique-y Whisky Company,12 year old Whisky,,Single Malt Whisky,,47.9%,50cl
Deanston 18 Year Old - Batch 3 (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/deanston/deanston-18-year-old-batch-3-that-boutiquey-whisky-company-whisky/,," Oily barley, vanilla, Golden Nuggets and toffee pennies form a core through which fresh citrus and oak spice emerge."," Acacia honey and tropical fruit are followed by rich cinnamon. Vanilla essence, soda bread and freshly cut grass notes develop.", Cedar and white oak remain.,Scotch Whisky,Highland Whisky,Deanston,That Boutique-y Whisky Company,18 year old Whisky,,Single Malt Whisky,,51.7%,50cl
Glen Moray 20 Year Old 1998 (cask 750408) - HEX,https://www.masterofmalt.com/whiskies/glen-moray/glen-moray-20-year-old-1998-cask-750408-hex-whisky/,," Thick waves of honey and butter, with a heaped helping of dried fruit underneath."," Here comes the Christmas spices! Cassia, cinnamon and clove, all wrapped up in caramel and lemongrass.", A final hint of orange sticks around.,Scotch Whisky,Speyside Whisky,Glen Moray,HEX Whisky,20 year old Whisky,20 Mar 1998,Single Malt Whisky,,60.7%,70cl
Tormore 26 Year Old 1988 (cask 4176) - Mackillop's Choice,https://www.masterofmalt.com/whiskies/tormore/tormore-26-year-old-1988-cask-4176-mackillops-choice-whisky/,," Caramel, chocolate mousse and a handful of oily hops."," Peppery wood, honey and cinnamon, alongside floral malt.", Gingerbread and a few more floral hints.,Scotch Whisky,Speyside Whisky,Tormore,Mackillop's,26 year old Whisky,29 Apr 1988,Single Malt Whisky,01 Jan 2015,55.6%,70cl
Aultmore 6 Year Old 2011 (cask 12072) - Provenance (Douglas Laing),https://www.masterofmalt.com/whiskies/aultmore/aultmore-6-year-old-2011-cask-12072-provenance-douglas-laing-whisky/,," Vanilla custard, coffee & walnut cake, a touch of cedar."," Black pepper, vanilla tablet, honey and apricot."," Sultanas, peaches in syrup, angelica.",Scotch Whisky,Speyside Whisky,Aultmore,Douglas Laing,6 year old Whisky,May 2011,Single Malt Whisky,August 2017,46.0%,70cl
Port Charlotte 2007 CC:01,https://www.masterofmalt.com/whiskies/bruichladdich/port-charlotte-2007-whisky/,," Smoky oak lingers throughout, but sweet vine peach and juicy plum notes are up-front and lively."," Toasted almond and meaty malt leading into smoky bacon. Warming spices, zesty orange and fresh red apple."," Vanilla, leather furniture, lemon meringue.",Scotch Whisky,Islay Whisky,Bruichladdich,Bruichladdich,,,Single Malt Whisky,,57.8%,70cl
Highland Park Harald (Warriors Series),https://www.masterofmalt.com/whiskies/highland-park/highland-park-harald-warriors-series-whisky/,,,,,,,,,,,,,,
SPEY Fumare,https://www.masterofmalt.com/whiskies/speyside/spey-fumare-whisky/,," Oily malt, subtly medicinal smoke, sweet herbs. "," Roasted nuts, caramelised apples, well-toasted barley.", Barrel char followed by a little sweet spark of raspberry compote. ,Scotch Whisky,Speyside Whisky,Speyside,Speyside,,,Single Malt Whisky,,46.0%,70cl
Peat's Beast Cask Strength,https://www.masterofmalt.com/whiskies/fox-fitzgerald/peats-beast-cask-strength-whisky/,,,,,,,,,,,,,,
Benrinnes 20 Year Old 1996 (cask 11711) - Kingsbury,https://www.masterofmalt.com/whiskies/benrinnes/benrinnes-20-year-old-1996-cask-11711-kingsbury-whisky/,," Biscotti, fudge and a touch of tarragon."," Peppermint, chocolate orange and stem ginger.", Subtly spicy with ground cardamom and fennel seed.,Scotch Whisky,Speyside Whisky,Benrinnes,Kingsbury,20 year old Whisky,1996,Single Malt Whisky,,56.5%,70cl
Singleton of Dufftown Malt Master's Selection,https://www.masterofmalt.com/whiskies/dufftown/singleton-of-dufftown-malt-masters-selection-whisky/,," Soft orchard fruit esters develop into boiled apple candies. White pepper begins to crackle through golden syrup and buttered bread, with a little marzipan icing in the backdrop."," A slightly oily palate carries more sweet notes of rich toffee, vanilla and a suggestion of pear drops. A green, grassy undertone lingers throughout as a youthful, vibrant spice prickles away.", The spice dissipates among more vanilla and a little wood ash.,Scotch Whisky,Speyside Whisky,Dufftown,Dufftown,,,Single Malt Whisky,,40.0%,70cl
Lochindaal 9 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/bruichladdichl/lochindaal-that-boutiquey-whisky-company-whisky/,," Grassy peat and grapefruit peels, with a whiff of salted caramel brownie developing."," Spicy as it opens with black pepper and smoke, though soft apricot tempers the heat. Slightly medicinal peat develops.", Lasting hints of sticking plasters and fruity esters.,Scotch Whisky,Islay Whisky,Bruichladdich,That Boutique-y Whisky Company,9 year old Whisky,,Single Malt Whisky,,50.1%,50cl
Tomintoul 10 Year Old 35cl,https://www.masterofmalt.com/whiskies/tomintoul/tomintoul-10-year-old-35cl-whisky/,," Medium-body and well-balanced. There are notes of vanilla fudge and barley. Tones of malt extract and espresso, hints of mochaccino and oak."," Pleasingly viscous, with notes of barley sugar, toasty cereals, acacia honey and malt extract. Honeycomb, toffee and a touch of vanilla fudge."," Quite short, yet charming.",Scotch Whisky,Speyside Whisky,Tomintoul,Tomintoul,10 year old Whisky,,Single Malt Whisky,,40.0%,35cl
anCnoc 18 Year Old,https://www.masterofmalt.com/whiskies/knockdhu/ancnoc-18-year-old-whisky/,, Unrefined sugar and satisfying raw honey with blood orange and satsuma segments.," Honey'd and spiced. Vanilla, lemon, gooseberry and fig rolls.", A long finish with warming Sherried spice.,Scotch Whisky,Highland Whisky,Knockdhu,Knockdhu,18 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Glen Garioch 7 Year Old 2011 - Strictly Limited (Càrn Mòr),https://www.masterofmalt.com/whiskies/glen-garioch/glen-garioch-7-year-old-2011-strictly-limited-carn-mor/,," Barley sweetness, with woody undertones and fresh citrus fruit."," Creamy mouthfeel, notes of apple crumble with cinnamon and nutmeg spice, followed by ripe banana, honeydew melon and toffee.", Vanilla pod and a slight undertone of freshly cut grass.,Scotch Whisky,Highland Whisky,Glen Garioch,Carn Mor,7 year old Whisky,2011,Single Malt Whisky,2019,46.0%,70cl
GlenDronach Peated,https://www.masterofmalt.com/whiskies/glendronach/glendronach-peated-whisky/,, Wafts of juicy (and maybe even a little tropical) fruit and vanilla cream mingle with plumes of charred oak., Cinnamon and more wood-smoke lead to runny honey and dried raisin further on., Golden barley shines through here.,Scotch Whisky,Highland Whisky,GlenDronach,GlenDronach,,,Single Malt Whisky,,46.0%,70cl
Laphroaig 20 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/laphroaig/laphroaig-that-boutiquey-whisky-company-whisky/,," Sea breeze, bonfire embers and freshly pressed cider notes make way for roasted malt, chestnut and espresso elements. There’s a juicy array of sherry-soaked dried fruit throughout. TCP and minty herbs form the backdrop."," Red apples, heather honey and nutty chocolate bring a complex sweetness that balances touches of dried kelp, soy sauce and rancio. Cinnamon and black pepper bring heat and spice. Medicinal peat and hot flashes of spearmint form underneath."," A blend of soot, rock pool and tinned fruit shines in a long and satisfying finish.",Scotch Whisky,Islay Whisky,Laphroaig,That Boutique-y Whisky Company,20 year old Whisky,,Single Malt Whisky,,49.9%,50cl
Tomintoul 21 Year Old,https://www.masterofmalt.com/whiskies/tomintoul/tomintoul-21-year-old-whisky/,," Rich oak and earthy vanilla pod, with a waft of citrus blossom."," Creamy malt, butterscotch and a tiny pinch of white pepper warmth."," Fragrant tobacco, more vanilla and some tropical fruit zestiness.",Scotch Whisky,Speyside Whisky,Tomintoul,Tomintoul,21 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Fettercairn 21 Year Old 1997 (casks 5611 & 5612) - Cask Strength Collection (Signatory),https://www.masterofmalt.com/whiskies/fettercairn/fettercairn-21-year-old-1997-casks-5611-and-5612-cask-strength-collection-signatory-whisky/,," Oily malt and fresh peach, with hints of roasted oak in the background."," Almond butter and Sesame Snaps, followed by apricot jam and cigar box earthiness."," Buttered hot cross buns, drying caraway, some waxy fruit.",Scotch Whisky,Highland Whisky,Fettercairn,Signatory,21 year old Whisky,10 Oct 1997,Single Malt Whisky,15 Feb 2019,58.0%,70cl
Tomatin 30 Year Old,https://www.masterofmalt.com/whiskies/tomatin/tomatin-30-year-old-whisky/,, Manuka honey and calves leather. Hints of gingernut and cut herbs.," Herbal, spiced palate with poppy seed cake, mature honey, fresh flowers and custard.", Custard and digestive biscuits on the finish.,Scotch Whisky,Highland Whisky,Tomatin,Tomatin,30 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Tormore 21 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/tormore/tormore-21-year-old-that-boutiquey-whisky-company-whisky/,," Freshly cut grass, hay, apples, vanilla ice cream, milk chocolate, cashew nuts, slight cinnamon spice prickle, banana chips and nutmeg."," Lots more orchard fruits, but this time with an element of dried citrus peels. Grapefruit, toasted barley, coffee beans and a suggestion of bitter dark chocolate."," Medium and relatively complex, with the oakiness, sweet spices and orchard fruits – this time stewed – all coming through.",Scotch Whisky,Speyside Whisky,Tormore,That Boutique-y Whisky Company,21 year old Whisky,,Single Malt Whisky,,46.8%,50cl
Glen Moray Classic Gift Pack with 2x Glasses,https://www.masterofmalt.com/whiskies/glen-moray/glen-moray-classic-with-2-glasses-whisky/,,,,,,,,,,,,,,
Irish Single Malt #1 13 Year Old - Batch 2 (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/that-boutiquey-whisky-company/irish-single-malt-1-13-year-old-batch-2-that-boutiquey-whisky-company-whiskey/,," Seriously fruity. Lots of creamy apricot, raspberry, strawberry, and apple. Floral and grassy, freshly cut hay notes, Shredded Wheat breakfast cereal."," Apple and apricot again, along with sweet spices: cinnamon, a touch of nutmeg and even some root ginger. Some darker fruits creep in too: plums and figs. Slightly hoppy. Creamy, mouth-filling texture.", More apricot and lots of wood spices.,Scotch Whisky,Scotch Whisky,That Boutique-y Whisky Company,That Boutique-y Whisky Company,13 year old Whisky,,Single Malt Whisky,,48.4%,50cl
